Date,Min(C1),Max(C2)
2024/06/27  16:22:24,-0.00636,1.03
2024/06/27  16:22:28,-0.00636,1.03
2024/06/27  16:22:30,-0.00636,1.03
2024/06/27  16:22:33,-0.00636,1.03
2024/06/27  16:22:36,-0.00636,1.03
2024/06/27  16:22:39,-0.00636,1.03
2024/06/27  16:22:42,-0.00636,1.03
2024/06/27  16:22:46,-0.00636,1.03
2024/06/27  16:22:49,-0.00636,1.03
2024/06/27  16:22:52,-0.00636,1.03
2024/06/27  16:22:55,-0.00636,1.03
2024/06/27  16:22:58,-0.00636,1.03
2024/06/27  16:23:02,-0.00636,1.03
2024/06/27  16:23:06,-0.00636,1.03
2024/06/27  16:23:09,-0.00636,1.03
2024/06/27  16:23:14,-0.0064,1.03
2024/06/27  16:23:17,-0.00636,1.03
2024/06/27  16:23:21,-0.00636,1.03
2024/06/27  16:23:25,-0.00636,1.03
2024/06/27  16:23:28,-0.00636,1.03
2024/06/27  16:23:31,-0.00636,1.03
2024/06/27  16:23:34,-0.00636,1.03
2024/06/27  16:23:37,-0.00636,1.03
2024/06/27  16:23:41,-0.00636,1.03
2024/06/27  16:23:44,-0.00636,1.03
2024/06/27  16:23:48,-0.00636,1.03
